goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1503292	       790.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1503428	       808.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1494961	       803.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1492243	       821.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1512854	       794.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1517133	       802.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1506585	       790.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_10,_Matching:_5-16        	 1503045	       798.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1013 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1027 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1038 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1041 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1086 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1112 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1088794	      1057 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1108 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1137579	      1090 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_1-16        	 1000000	      1081 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1136 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1113 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1096 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1103 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1087 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1083 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1059 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1079 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_2-16        	 1000000	      1073 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	 1000000	      1197 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	 1000000	      1224 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	  993775	      1199 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	  992506	      1211 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	  990661	      1210 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	  987615	      1262 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	 1000000	      1204 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	  999506	      1204 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	 1000000	      1190 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_10,_Labels:_25,_Matching:_5-16        	 1000000	      1218 ns/op	       8 B/op	       1 allocs/op
