BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                            	   64812	     19106 ns/op	    5528 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                            	   63639	     18761 ns/op	    5528 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                            	   61525	     19256 ns/op	    5528 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                            	   64004	     18824 ns/op	    5528 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_few_requests-12                            	   58956	     19117 ns/op	    5528 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                           	   61981	     18704 ns/op	    8416 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                           	   62062	     19154 ns/op	    8416 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                           	   65408	     18483 ns/op	    8416 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                           	   64188	     18794 ns/op	    8416 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_metadata,_and_no_series/split_in_many_requests-12                           	   63333	     18661 ns/op	    8416 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                         	   18544	     67448 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                         	   18946	     65042 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                         	   18392	     64971 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                         	   18646	     64554 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/no_splitting-12                                         	   18236	     65544 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_both_series_and_metadata/split_in_few_requests-12                                	    5649	    196341 ns/op	   13816 B/op	       8 allocs/op
