step,ing_min,ing_max,ing_mean,ing_p99,ing_stddev,ing_max_mean,qry_min,qry_max,qry_mean,qry_p99,qry_stddev,qry_max_mean,ing_moves,qry_moves,ing_churn,catchup_count,catchup_load
39,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0233,184.6826,2.8495,184.6826,20.5265,181.8331,0,0,0.000000,0,0.0000
40,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0233,184.6826,2.8495,184.6826,20.5265,181.8331,0,1,0.000000,0,0.0000
41,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6826,2.8496,184.6826,20.5265,181.8330,0,0,0.000000,1,0.0045
42,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6826,2.8496,184.6826,20.5265,181.8330,0,0,0.000000,1,0.0045
43,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6826,2.8496,184.6826,20.5265,181.8330,0,0,0.000000,1,0.0045
44,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6826,2.8496,184.6826,20.5265,181.8330,0,0,0.000000,1,0.0045
45,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
46,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
47,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
48,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
49,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
50,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
51,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
52,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
53,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
